state,positive,negative,pending,death,total,lastUpdateEt,checkTimeEt
AK,3,334,,,337,3/17 14:30,3/17 21:54
AL,39,28,,0,67,3/17 16:30,3/17 21:54
AR,22,197,41,,260,3/17 00:00,3/17 21:53
AS,0,,,,0,3/14 00:00,3/17 22:43
AZ,20,142,66,0,228,3/17 00:00,3/17 21:33
CA,483,7981,,11,8464,3/16 21:00,3/17 21:57
CO,160,1056,,1,1216,3/16 17:00,3/17 21:58
CT,68,125,,,193,3/17 16:30,3/17 21:59
DC,31,138,1,,170,3/17 19:00,3/17 21:37
DE,16,36,,,52,3/17 15:55,3/17 22:00
FL,210,1017,1061,6,2288,3/17 18:00,3/17 21:42
GA,146,,,1,146,3/17 12:00,3/17 22:02
GU,5,41,,,46,3/17 04:15,3/17 22:43
HI,13,,,,13,3/17 18:00,3/17 21:43
IA,29,83,,,112,3/17 00:00,3/17 21:46
ID,9,353,,,362,3/17 20:25,3/17 21:48
IL,160,1500,,1,1660,3/17 00:00,3/17 21:49
IN,30,129,,2,159,3/16 23:59,3/17 21:52
KS,16,417,,1,433,3/17 16:30,3/17 21:46
KY,26,354,,1,380,3/17 16:00,3/17 22:03
LA,196,335,,4,531,3/17 18:30,3/17 22:04
MA,218,1541,,,1759,3/16 16:00,3/17 22:06
MD,57,94,,,151,3/17 10:00,3/17 22:06
ME,32,1303,,,1335,3/17 12:00,3/17 22:08
MI,65,272,,,337,3/17 14:00,3/17 22:09
MN,60,2276,,,2336,3/17 00:00,3/17 22:09
MO,13,253,,0,266,3/16 20:00,3/17 22:09
MP,0,,,,0,3/17 01:30,3/17 22:43
MS,21,368,,,389,3/17 00:00,3/17 22:11
MT,8,303,0,,311,3/16 21:22,3/17 22:11
NC,40,474,,0,514,3/17 08:51,3/17 22:11
ND,5,248,,0,253,3/17 00:00,3/17 22:16
NE,21,206,,,227,3/17 00:00,3/17 22:17
NH,26,513,208,,747,3/17 09:00,3/17 22:20
NJ,267,163,55,3,485,3/17 13:00,3/17 22:20
NM,23,1697,,,1720,3/17 00:00,3/17 22:21
NV,55,168,,1,223,3/17 15:00,3/17 21:41
NY,1700,5506,,12,7206,3/17 20:15,3/17 22:24
OH,67,140,,,207,3/17 15:00,3/17 22:25
OK,17,247,82,,346,3/17 09:15,3/17 22:26
OR,65,968,215,1,1248,3/17 12:00,3/17 22:28
PA,96,879,,,975,3/17 17:00,3/17 22:28
PR,5,13,19,,37,3/17 00:00,3/17 22:41
RI,21,308,149,,478,3/16 00:00,3/17 22:29
SC,47,409,,1,456,3/17 16:35,3/17 22:29
SD,11,551,35,,597,3/17 00:00,3/17 22:33
TN,73,330,,,403,3/17 15:00,3/17 22:34
TX,64,1204,,1,1268,3/17 13:00,3/17 22:35
UT,51,131,,0,182,3/17 14:45,3/17 22:35
VA,67,961,,1,1028,3/17 12:00,3/17 22:37
VI,2,,,,2,3/17 17:30,3/17 22:42
VT,10,495,,,505,3/17 13:00,3/17 22:38
WA,1012,13117,,52,14129,3/17 18:15,3/17 22:38
WI,72,1038,,,1110,3/17 15:00,3/17 22:38
WV,1,122,14,0,137,3/17 00:00,3/17 22:40
WY,11,95,,,106,3/17 00:00,3/17 22:41